30SWF;EPSG:32630;WGS 84 / UTM zone 30N;-3.00022491683 37.0465830501 -1.78119997991 36.0505282155
30SWG;EPSG:32630;WGS 84 / UTM zone 30N;-3.00022763545 37.9475895716 -1.76699475178 36.9514794714
30SWH;EPSG:32630;WGS 84 / UTM zone 30N;-3.00023047979 38.8489984834 -1.75213459128 37.8528295029
30SWJ;EPSG:32630;WGS 84 / UTM zone 30N;-3.00023345438 39.7502679266 -1.73659678081 38.7540360478
30SXF;EPSG:32630;WGS 84 / UTM zone 30N;-1.87551445266 37.0412540476 -0.671385770535 36.0341050484
30SXG;EPSG:32630;WGS 84 / UTM zone 30N;-1.86192606807 37.9420853198 -0.644267630548 36.9345107528
30SXH;EPSG:32630;WGS 84 / UTM zone 30N;-1.84770947867 38.8433146054 -0.615900028668 37.8353021099
30SXJ;EPSG:32630;WGS 84 / UTM zone 30N;-1.83284204447 39.7443998961 -0.586239721346 38.7359364307
30SYG;EPSG:32630;WGS 84 / UTM zone 30N;-0.724926539251 37.9255905472 0.476554344254 36.9069718127
30SYH;EPSG:32630;WGS 84 / UTM zone 30N;-0.696529596895 38.8262817083 0.518362239998 37.8068570322
30SYJ;EPSG:32630;WGS 84 / UTM zone 30N;-0.666833532013 39.7268153311 0.562073143737 38.7065632945
30TTK;EPSG:32630;WGS 84 / UTM zone 30N;-6.54546370146 40.5964014685 -5.21676465654 39.6404485626
30TTL;EPSG:32630;WGS 84 / UTM zone 30N;-6.59412455183 41.4956464353 -5.24618611839 40.5409099944
30TTM;EPSG:32630;WGS 84 / UTM zone 30N;-6.64504576623 42.3947013937 -5.27696656733 41.4412121665
30TUK;EPSG:32630;WGS 84 / UTM zone 30N;-5.36468078702 40.6266397268 -4.05144935755 39.6568474863
30TUL;EPSG:32630;WGS 84 / UTM zone 30N;-5.39718261921 41.526852301 -4.06541547567 40.5578370988
30TUM;EPSG:32630;WGS 84 / UTM zone 30N;-5.43119626719 42.4269016871 -4.08002716017 41.4586816132
30TUN;EPSG:32630;WGS 84 / UTM zone 30N;-5.46678204877 43.3262463354 -4.09530924716 42.3588399173
30TUP;EPSG:32630;WGS 84 / UTM zone 30N;-5.50407140709 44.2259641543 -4.1113169858 43.2593919101
30TUT;EPSG:32630;WGS 84 / UTM zone 30N;-5.67207324052 47.8225951268 -4.18335153308 46.8595830834
30TVK;EPSG:32630;WGS 84 / UTM zone 30N;-4.1831726066 40.6447948038 -2.88622008547 39.661551227
30TVL;EPSG:32630;WGS 84 / UTM zone 30N;-4.19944910163 41.5455887676 -2.88470843547 40.5626923868
30TVM;EPSG:32630;WGS 84 / UTM zone 30N;-4.21648331498 42.4462357017 -2.88312689683 41.4636925165
30TVN;EPSG:32630;WGS 84 / UTM zone 30N;-4.23430555017 43.3461946848 -2.88147277913 42.3640106559
30TVP;EPSG:32630;WGS 84 / UTM zone 30N;-4.2529817457 44.246545441 -2.87974009974 43.2647271634
30TVT;EPSG:32630;WGS 84 / UTM zone 30N;-4.33713470955 47.8459148268 -2.87194283885 46.8656282473
30TWK;EPSG:32630;WGS 84 / UTM zone 30N;-3.00023656389 40.6508565153 -1.72035792137 39.6545573065
30TWL;EPSG:32630;WGS 84 / UTM zone 30N;-3.00023981916 41.5518446696 -1.70336265384 40.5554731408
30TWM;EPSG:32630;WGS 84 / UTM zone 30N;-3.00024322602 42.4526911987 -1.68558188066 41.4562418971
30TWN;EPSG:32630;WGS 84 / UTM zone 30N;-3.00024679053 43.3528553919 -1.6669853912 42.3563223896
30TWP;EPSG:32630;WGS 84 / UTM zone 30N;-3.00025052588 44.2534175806 -1.64750596752 43.2567942937
30TWS;EPSG:32630;WGS 84 / UTM zone 30N;-3.00026284244 46.9537091787 -1.5833438984 45.9567698586
30TWT;EPSG:32630;WGS 84 / UTM zone 30N;-3.00026735766 47.853701842 -1.5598501756 46.8566398814
30TXK;EPSG:32630;WGS 84 / UTM zone 30N;-1.81730037734 40.6447996495 -0.555242177856 39.63587147
30TXL;EPSG:32630;WGS 84 / UTM zone 30N;-1.80103038521 41.5455937685 -0.522801878397 40.536185528
30TXM;EPSG:32630;WGS 84 / UTM zone 30N;-1.78400297733 42.4462408622 -0.488863453123 41.4363363796
30TXN;EPSG:32630;WGS 84 / UTM zone 30N;-1.76618786224 43.3462000094 -0.45336942771 42.3357822388
30TXP;EPSG:32630;WGS 84 / UTM zone 30N;-1.74751912778 44.2465509345 -0.41619172043 43.2356009597
30TXQ;EPSG:32630;WGS 84 / UTM zone 30N;-1.72795903224 45.1467528551 -0.377258790864 44.1352507247
30TXR;EPSG:32630;WGS 84 / UTM zone 30N;-1.70746796417 46.0462654558 -0.336495792243 45.0341901398
30TXS;EPSG:32630;WGS 84 / UTM zone 30N;-1.68596471963 46.9461682535 -0.293745666967 45.9334965044
30TXT;EPSG:32630;WGS 84 / UTM zone 30N;-1.66339978004 47.8459210516 -0.248915001392 46.8326283188
30TYK;EPSG:32630;WGS 84 / UTM zone 30N;-0.635791766296 40.6266494069 0.607752356981 39.6055476375
30TYL;EPSG:32630;WGS 84 / UTM zone 30N;-0.603296414149 41.526862291 0.655555014401 40.5048858361
30TYM;EPSG:32630;WGS 84 / UTM zone 30N;-0.569289546976 42.4269119955 0.705562298546 41.4040347457
30TYN;EPSG:32630;WGS 84 / UTM zone 30N;-0.533710858879 43.3262569713 0.757858445331 42.3024516151
30TYP;EPSG:32630;WGS 84 / UTM zone 30N;-0.496428932812 44.2259751276 0.812631659485 43.2012113549
30TYQ;EPSG:32630;WGS 84 / UTM zone 30N;-0.457368642767 45.1255248825 0.869986766447 44.0997709177
30TYR;EPSG:32630;WGS 84 / UTM zone 30N;-0.416451160415 46.0243650752 0.930033391078 44.997587612
30TYS;EPSG:32630;WGS 84 / UTM zone 30N;-0.373514644733 46.9235730578 0.993002166595 45.8957352515
30TYT;EPSG:32630;WGS 84 / UTM zone 30N;-0.328460573613 47.8226075595 1.05902986511 46.7936706877
30UUA;EPSG:32630;WGS 84 / UTM zone 30N;-5.82133248357 50.518100038 -4.24721695615 49.5580339519
30UUB;EPSG:32630;WGS 84 / UTM zone 30N;-5.87629176829 51.415883589 -4.2706991082 50.4568611701
30UUC;EPSG:32630;WGS 84 / UTM zone 30N;-5.93420177176 52.3140232377 -4.29542153532 51.3560798434
30UUD;EPSG:32630;WGS 84 / UTM zone 30N;-5.99523907492 53.2119778261 -4.32145593498 52.2551507483
30UUE;EPSG:32630;WGS 84 / UTM zone 30N;-6.05959368336 54.1092064476 -4.34887922921 53.1535350929
30UUF;EPSG:32630;WGS 84 / UTM zone 30N;-6.12759603757 55.0067835614 -4.37782753607 54.0523118483
30UUG;EPSG:32630;WGS 84 / UTM zone 30N;-6.19948856121 55.9041676247 -4.40839870205 54.9509422613
30UUU;EPSG:32630;WGS 84 / UTM zone 30N;-5.71935849522 48.720914869 -4.20359829776 47.7588553721
30UUV;EPSG:32630;WGS 84 / UTM zone 30N;-5.769067937 49.6195968745 -4.2248689622 48.6585189159
30UVA;EPSG:32630;WGS 84 / UTM zone 30N;-4.41191386336 50.5437323314 -2.86502949738 49.5646762974
30UVB;EPSG:32630;WGS 84 / UTM zone 30N;-4.4394521499 51.4423452524 -2.86248750524 50.4637171673
30UVC;EPSG:32630;WGS 84 / UTM zone 30N;-4.4684710974 52.3413478024 -2.85981120136 51.3631578426
30UVD;EPSG:32630;WGS 84 / UTM zone 30N;-4.49905958789 53.2402008146 -2.85699281526 52.2624595782
30UVE;EPSG:32630;WGS 84 / UTM zone 30N;-4.53131329527 54.1383655333 -2.85402400949 53.1610840978
30UVF;EPSG:32630;WGS 84 / UTM zone 30N;-4.56539836098 55.0369205416 -2.85089003631 54.0601113886
30UVG;EPSG:32630;WGS 84 / UTM zone 30N;-4.60143691434 55.9353270609 -2.84758028898 54.9590033585
30UVU;EPSG:32630;WGS 84 / UTM zone 30N;-4.36082319775 48.744977688 -2.86975119016 47.765092664
30UVV;EPSG:32630;WGS 84 / UTM zone 30N;-4.38572763181 49.644430073 -2.86744867288 48.6649551514
30UWA;EPSG:32630;WGS 84 / UTM zone 30N;-3.00028231551 50.5522921101 -1.48213687246 49.5548000568
30UWB;EPSG:32630;WGS 84 / UTM zone 30N;-3.00028782415 51.4511822053 -1.45356355855 50.4535232784
30UWC;EPSG:32630;WGS 84 / UTM zone 30N;-3.00029362912 52.3504731569 -1.4234813358 51.3526338928
30UWD;EPSG:32630;WGS 84 / UTM zone 30N;-3.00029974822 53.2496264673 -1.39180301158 52.2515924439
